Mærke;Produktnavn;Varenr;Pris;Personlængde (cm);Komforttemp (°C);Laveste temp (°C);Anbefalet temp;Fyld;Vægt (g);Farve;Sæson;Sortiment;Lagerstatus;Note
Marmot;Helium;44085001;4499;167;-3;-9;Ikke oplyst;Dun (800+);920;Blå (ARCTIC NAVY/DARK AZURE);3-sæson;Butik;;
Marmot;Helium;44085002;4649;183;-3;-9;Ikke oplyst;Dun (800+);1000;Blå (ARCTIC NAVY/DARK AZURE);3-sæson;Butik;;
Marmot;Helium;44085003;4799;198;-3;-9;Ikke oplyst;Dun (800+);1060;Blå (ARCTIC NAVY/DARK AZURE);3-sæson;Butik;;
RAB;Alpine 600 (W);44227001;2799;170;-5;-12;Ikke oplyst;Dun (650 imp);1000;Grøn (PEACOCK GREEN);3-sæson;Butik;;
Western Mountaineering;Sycamore MF;21746001;5299;180;1;-4;Ikke oplyst;Dun (850);905;Rød;3-sæson;Butik;;
Western Mountaineering;Sycamore MF;21746002;5499;200;1;-4;Ikke oplyst;Dun (850);965;Rød;3-sæson;Butik;;
Western Mountaineering;UltraLite;21523002;5499;180;-4;-10;Ikke oplyst;Dun (850);820;Blå;3-sæson;Butik;;
Western Mountaineering;UltraLite;21523003;5699;200;-4;-10;Ikke oplyst;Dun (850);880;Blå;3-sæson;Butik;;
Western Mountaineering;Apache MF;16931005;5899;180;-5;-12;Ikke oplyst;Dun (850);905;Rød;3-sæson;Butik;;
Western Mountaineering;Apache MF;16931006;6199;200;-5;-12;Ikke oplyst;Dun (850);965;Rød;3-sæson;Butik;;
Western Mountaineering;Apache GT Infinium;43223001;6999;180;-5;-12;Ikke oplyst;Dun (850);1075;Rød (CRIMSON/BLACK);3-sæson;Butik;;
Western Mountaineering;Apache GT Infinium;43223002;7299;200;-5;-12;Ikke oplyst;Dun (850);1135;Rød (CRIMSON/BLACK);3-sæson;Butik;;
Marmot;Trestles Elite Eco 0 (M);38900001;1799;183;-9,1;-16,5;Ikke oplyst;Fiber;1595;Orange (ORANGE HAZE/DARK STEEL);Vinter;Butik;;
Marmot;Trestles Elite Eco 0 (M);38900002;1899;198;-9,1;-16,5;Ikke oplyst;Fiber;1744;Orange (ORANGE HAZE/DARK STEEL);Vinter;Butik;;
Marmot;Micron 0;41577001;2899;183;-12,5;-20,4;Ikke oplyst;Dun (650 imp);1450;Orange (TANGELO/AUBURN);Vinter;Butik;;
Marmot;Micron 0;41577002;3099;198;-12,5;-20,4;Ikke oplyst;Dun (650 imp);1515;Orange (TANGELO/AUBURN);Vinter;Butik;;
Marmot;Ouray (W);43061001;3299;168;Ikke oplyst;Ikke oplyst;-18;Dun (650 imp);1795;Blå (ARCTIC NAVY/DARK AZURE);Vinter;Butik;;
Marmot;Ouray (W);43061002;3549;183;Ikke oplyst;Ikke oplyst;-18;Dun (650 imp);1910;Blå (ARCTIC NAVY/DARK AZURE);Vinter;Butik;;
Marmot;Wind River;43062001;3549;183;Ikke oplyst;Ikke oplyst;-24;Dun (650 imp);1955;Blå (CLEAR BLUE/DARK AZURE);Vinter;Butik;;
Marmot;Wind River;43062002;3799;198;Ikke oplyst;Ikke oplyst;-24;Dun (650 imp);2020;Blå (CLEAR BLUE/DARK AZURE);Vinter;Butik;;
Marmot;Lithium;44086001;5549;167;-11;-19;Ikke oplyst;Dun (800+ imp);1306;Orange (ORANGE PEPPER/GOLDEN SUN);Vinter;Butik;;
